"from","to"
94,97
94,99
95,12
95,16
95,17
95,34
95,37
95,40
95,41
95,43
95,45
95,51
95,52
95,55
95,58
95,62
95,66
95,68
95,69
95,71
95,81
95,84
95,91
95,93
95,96
95,97
95,99
96,51
97,51
97,84
98,2
98,35
98,67
98,72
98,77
98,82
98,90
