"from","to"
"88","99"
"89","25"
"89","28"
"89","35"
"89","40"
"89","42"
"89","43"
"89","44"
"89","48"
"89","50"
"89","58"
"89","63"
"90","3"
"90","18"
"90","62"
"90","63"
"90","81"
"91","8"
"91","10"
"91","28"
"91","49"
"92","13"
"92","25"
"92","63"
"92","74"
"93","3"
"93","37"
"93","68"
"94","17"
"94","23"
"94","25"
"94","43"
"94","52"
"94","63"
"94","67"
"94","69"
"95","3"
"95","25"
"95","43"
"95","63"
"95","88"
"95","90"
"96","3"
"96","18"
"96","25"
"96","27"
"96","63"
"96","66"
"96","78"
"97","1"
"97","6"
"97","27"
"97","63"
"97","81"
"97","90"
"98","3"
"98","23"
"98","49"
"98","88"
"99","8"
"99","23"
"99","49"
"99","90"
