"from","to"
"45","58"
"45","59"
"45","62"
"45","65"
"45","66"
"45","73"
"45","75"
"45","81"
"45","84"
"45","96"
"45","99"
"46","0"
"46","8"
"46","9"
"46","15"
"46","23"
"46","35"
"46","45"
"46","49"
"46","61"
"46","67"
"46","70"
"46","72"
"46","78"
"46","80"
"46","85"
"46","88"
"46","89"
"46","90"
"47","0"
"47","1"
"47","8"
"47","9"
"47","15"
"47","23"
"47","35"
"47","45"
"47","49"
"47","61"
"47","67"
"47","70"
"47","72"
"47","78"
"47","80"
"47","85"
"47","89"
"47","90"
"48","9"
"48","15"
"48","23"
"48","45"
"48","49"
"48","78"
"48","79"
"49","10"
"49","16"
"49","17"
"49","21"
"49","40"
"49","43"
"49","48"
"49","51"
"49","52"
"49","58"
"49","62"
"49","65"
"49","74"
"49","81"
"49","96"
"50","0"
"50","1"
"50","8"
"50","9"
"50","15"
"50","23"
"50","35"
"50","45"
"50","49"
"50","61"
"50","67"
"50","70"
"50","78"
"50","80"
"50","85"
"50","89"
"50","90"
"51","0"
"51","1"
"51","8"
"51","9"
"51","15"
"51","23"
"51","35"
"51","45"
"51","49"
"51","61"
"51","70"
"51","78"
"51","80"
"51","85"
"51","89"
"51","90"
"52","1"
"52","2"
"52","59"
"52","79"
"53","0"
"53","8"
"53","9"
"53","15"
"53","23"
"53","35"
"53","45"
"53","49"
"53","61"
"53","67"
"53","70"
"53","78"
"53","80"
"53","85"
"53","88"
"53","89"
"53","90"
"54","10"
"54","14"
"54","16"
"54","17"
"54","21"
"54","32"
"54","37"
"54","40"
"54","43"
"54","48"
"54","51"
"54","52"
"54","58"
"54","62"
"54","65"
"54","81"
"54","96"
"55","8"
"55","9"
"55","15"
"55","23"
"55","35"
"55","45"
"55","49"
"55","63"
"55","67"
"55","78"
"55","80"
"56","0"
"56","8"
"56","9"
"56","15"
"56","23"
"56","35"
"56","45"
"56","49"
"56","61"
"56","67"
"56","70"
"56","78"
"56","80"
"56","85"
"56","89"
"56","90"
"57","0"
"57","8"
"57","9"
"57","15"
"57","23"
"57","35"
"57","45"
"57","49"
"57","61"
"57","67"
"57","70"
"57","78"
"57","80"
"57","85"
"57","88"
"57","89"
"57","90"
"58","1"
"58","2"
"58","27"
"58","53"
"58","59"
"58","79"
"59","0"
"59","8"
"59","9"
"59","15"
"59","23"
"59","35"
"59","45"
"59","49"
"59","61"
"59","67"
"59","70"
"59","78"
"59","80"
"59","85"
"59","88"
"59","89"
"59","90"
"60","0"
"60","8"
"60","9"
"60","15"
"60","23"
"60","35"
"60","45"
"60","49"
"60","61"
"60","70"
"60","78"
"60","80"
"60","85"
"60","89"
"60","90"
"61","10"
"61","14"
"61","16"
"61","17"
"61","21"
"61","35"
"61","40"
"61","43"
"61","48"
"61","51"
"61","52"
"61","58"
"61","62"
"61","65"
"61","81"
"61","96"
"62","1"
"62","9"
"62","15"
"62","23"
"62","49"
"62","78"
"62","79"
"63","0"
"63","1"
"63","8"
"63","9"
"63","15"
"63","23"
"63","35"
"63","45"
"63","49"
"63","61"
"63","70"
"63","78"
"63","80"
"63","85"
"63","89"
"63","90"
"64","0"
"64","1"
"64","8"
"64","9"
"64","15"
"64","23"
"64","35"
"64","45"
"64","49"
"64","61"
"64","70"
"64","78"
"64","80"
"64","85"
"64","89"
"64","90"
"65","1"
"65","9"
"65","15"
"65","23"
"65","49"
"65","78"
"66","0"
"66","1"
"66","8"
"66","9"
"66","15"
"66","23"
"66","35"
"66","45"
"66","49"
"66","61"
"66","70"
"66","78"
"66","80"
"66","85"
"66","89"
"66","90"
"67","1"
"67","13"
"67","27"
"67","44"
"67","51"
"67","53"
"67","58"
"67","59"
"67","62"
"67","65"
"67","73"
"67","75"
"67","79"
"67","81"
"67","84"
"67","96"
"68","1"
"68","9"
"68","15"
"68","23"
"68","49"
"68","59"
"68","70"
"68","78"
"69","1"
"69","2"
"69","9"
"69","15"
"69","49"
"69","59"
"69","79"
"70","10"
"70","14"
"70","16"
"70","17"
"70","21"
"70","37"
"70","40"
"70","43"
"70","48"
"70","51"
"70","52"
"70","58"
"70","62"
"70","65"
"70","66"
"70","81"
"70","96"
"71","1"
"71","2"
"71","27"
"71","44"
"71","53"
"71","59"
"71","79"
"71","88"
"71","96"
"72","2"
"72","3"
"72","10"
"72","13"
"72","14"
"72","17"
"72","27"
"72","40"
"72","43"
"72","44"
"72","48"
"72","51"
"72","52"
"72","53"
"72","55"
"72","58"
"72","59"
"72","62"
"72","65"
"72","66"
"72","73"
"72","75"
"72","79"
"72","81"
"72","84"
"72","96"
"73","0"
"73","8"
"73","9"
"73","15"
"73","23"
"73","35"
"73","45"
"73","49"
"73","61"
"73","67"
"73","70"
"73","72"
"73","78"
"73","80"
"73","85"
"73","88"
"73","89"
"73","90"
"74","0"
"74","1"
"74","8"
"74","9"
"74","15"
"74","23"
"74","30"
"74","35"
"74","45"
"74","49"
"74","61"
"74","70"
"74","78"
"74","80"
"74","85"
"74","89"
"74","90"
"75","0"
"75","8"
"75","9"
"75","15"
"75","23"
"75","35"
"75","45"
"75","49"
"75","61"
"75","67"
"75","70"
"75","72"
"75","78"
"75","80"
"75","85"
"75","88"
"75","89"
"75","90"
"76","0"
"76","8"
"76","9"
"76","15"
"76","23"
"76","35"
"76","45"
"76","49"
"76","61"
"76","67"
"76","78"
"76","80"
"76","85"
"76","88"
"76","89"
"77","0"
"77","1"
"77","8"
"77","9"
"77","15"
"77","23"
"77","35"
"77","45"
"77","49"
"77","61"
"77","70"
"77","78"
"77","85"
"77","89"
"77","90"
"78","10"
"78","16"
"78","21"
"78","40"
"78","43"
"78","48"
"78","51"
"78","52"
"78","58"
"78","62"
"78","65"
"78","81"
"78","96"
"79","0"
"79","1"
"79","8"
"79","9"
"79","15"
"79","23"
"79","45"
"79","49"
"79","61"
"79","70"
"79","73"
"79","78"
"79","85"
"79","89"
"79","90"
"79","95"
"80","10"
"80","14"
"80","16"
"80","17"
"80","21"
"80","40"
"80","43"
"80","48"
"80","51"
"80","52"
"80","58"
"80","62"
"80","65"
"80","66"
"80","68"
"80","81"
"80","96"
"81","44"
"81","59"
"81","84"
"81","96"
"82","1"
"82","2"
"82","3"
"82","10"
"82","13"
"82","14"
"82","17"
"82","27"
"82","40"
"82","43"
"82","44"
"82","51"
"82","53"
"82","58"
"82","59"
"82","62"
"82","73"
"82","75"
"82","79"
"82","81"
"82","84"
"82","86"
"82","96"
"83","0"
"83","8"
"83","9"
"83","15"
"83","23"
"83","35"
"83","45"
"83","49"
"83","61"
"83","67"
"83","70"
"83","72"
"83","78"
"83","80"
"83","85"
"83","88"
"83","89"
"83","90"
"84","0"
"84","9"
"84","15"
"84","23"
"84","35"
"84","45"
"84","49"
"84","61"
"84","67"
"84","70"
"84","76"
"84","78"
"84","80"
"84","85"
"84","88"
"84","89"
"85","10"
"85","14"
"85","16"
"85","17"
"85","21"
"85","37"
"85","40"
"85","43"
"85","48"
"85","51"
"85","52"
"85","55"
"85","58"
"85","62"
"85","65"
"85","66"
"85","68"
"85","74"
"85","81"
"85","84"
"85","91"
"85","96"
"86","0"
"86","8"
"86","9"
"86","15"
"86","23"
"86","35"
"86","45"
"86","49"
"86","61"
"86","67"
"86","78"
"86","80"
"86","85"
"86","88"
"87","0"
"87","8"
"87","9"
"87","15"
"87","23"
"87","35"
"87","45"
"87","49"
"87","61"
"87","67"
"87","70"
"87","78"
"87","80"
"87","85"
"87","88"
"87","89"
"87","90"
"88","79"
"89","8"
"89","10"
"89","14"
"89","16"
"89","21"
"89","30"
"89","40"
"89","43"
"89","48"
"89","51"
"89","52"
"89","58"
"89","62"
"89","63"
"89","65"
"89","74"
"89","81"
"89","96"
"90","10"
"90","14"
"90","16"
"90","17"
"90","21"
"90","27"
"90","37"
"90","40"
"90","43"
"90","44"
"90","48"
"90","51"
"90","52"
"90","55"
"90","58"
"90","59"
"90","62"
"90","63"
"90","65"
"90","66"
"90","68"
"90","74"
"90","81"
"90","84"
"90","96"
"90","99"
"91","0"
"91","1"
"91","8"
"91","9"
"91","15"
"91","23"
"91","35"
"91","45"
"91","49"
"91","61"
"91","70"
"91","78"
"91","80"
"91","85"
"91","89"
"91","90"
"92","0"
"92","9"
"92","15"
"92","23"
"92","35"
"92","45"
"92","49"
"92","67"
"92","78"
"92","80"
"92","85"
"92","88"
"93","1"
"93","2"
"93","7"
"93","9"
"93","15"
"93","23"
"93","27"
"93","49"
"93","53"
"93","59"
"93","66"
"93","79"
"94","2"
"94","10"
"94","14"
"94","16"
"94","17"
"94","21"
"94","37"
"94","40"
"94","43"
"94","48"
"94","51"
"94","52"
"94","58"
"94","62"
"94","65"
"94","66"
"94","68"
"94","74"
"94","81"
"94","96"
"95","10"
"95","14"
"95","16"
"95","17"
"95","21"
"95","27"
"95","40"
"95","43"
"95","48"
"95","51"
"95","52"
"95","58"
"95","62"
"95","65"
"95","66"
"95","81"
"95","96"
"96","9"
"96","23"
"96","50"
"96","61"
"96","79"
"97","1"
"97","9"
"97","15"
"97","23"
"97","49"
"97","59"
"97","79"
"98","0"
"98","8"
"98","9"
"98","15"
"98","23"
"98","35"
"98","45"
"98","49"
"98","61"
"98","70"
"98","78"
"98","80"
"98","85"
"98","89"
"98","90"
"99","0"
"99","1"
"99","9"
"99","15"
"99","23"
"99","45"
"99","49"
"99","61"
"99","78"
"99","79"
"99","85"
"99","89"
